주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,제품 코드,제품 대분류,제품 중분류,제품명,관리자,반품?,매출,수량,할인율,수익
IN-2025-76058,3/13/2025,3/15/2025,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-FA-10003604,사무용품,파스너,"Stockwell Paper Clips, Assorted Sizes",전소현,False,46267.2,4,0,6364.8
IN-2025-76058,3/13/2025,3/15/2025,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,FUR-CH-10004694,가구,의자,"Office Star Rocking Chair, Black",전소현,False,988747.2,7,0,355786.2
IN-2025-76058,3/13/2025,3/15/2025,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-PA-10000302,사무용품,종이,"Eaton Computer Printout Paper, Multicolor",전소현,False,85557.6,3,0,31579.2
IN-2025-76058,3/13/2025,3/15/2025,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-EN-10003601,사무용품,봉투,"GlobeWeis Clasp Envelope, Set of 50",전소현,False,50490,5,0,0
IN-2025-76058,3/13/2025,3/15/2025,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,FUR-FU-10000496,가구,가구류,"Eldon Clock, Duo Pack",전소현,False,115423.2,2,0,54223.2
IN-2025-17489,12/22/2025,12/26/2025,표준 배송,DF-13135,문익현,소비자,부평구,인천광역시,대한민국,OFF-BI-10004651,사무용품,바인더,"Cardinal Binding Machine, Clear",전소현,False,166712.472,4,0.17,58143.672
IN-2025-17489,12/22/2025,12/26/2025,표준 배송,DF-13135,문익현,소비자,부평구,인천광역시,대한민국,OFF-AR-10000539,사무용품,필기구,"Boston Markers, Easy-Erase",전소현,False,59508.432,3,0.27,-16318.368
IN-2025-46343,9/23/2025,9/27/2025,표준 배송,JW-15220,현유희,기업 고객,의령군,경상남도,대한민국,OFF-LA-10003396,사무용품,라벨,"Avery Color Coded Labels, Laser Printer Compatible",원유선,False,67779,5,0,14841
IN-2025-46343,9/23/2025,9/27/2025,표준 배송,JW-15220,현유희,기업 고객,의령군,경상남도,대한민국,OFF-ST-10004325,사무용품,수납용품,"Eldon Box, Single Width",원유선,False,52479,5,0,20961
IN-2025-30817,5/8/2025,5/12/2025,표준 배송,GM-14440,정경진,소비자,증평군,충청북도,대한민국,OFF-SU-10004177,사무용품,일반 사무용품,"Fiskars Box Cutter, Easy Grip",신한결,False,151531.2,4,0,33292.8
IN-2025-30817,5/8/2025,5/12/2025,표준 배송,GM-14440,정경진,소비자,증평군,충청북도,대한민국,OFF-AR-10001228,사무용품,필기구,"Binney & Smith Pens, Easy-Erase",신한결,False,37362.6,3,0,13035.6
IN-2025-30817,5/8/2025,5/12/2025,표준 배송,GM-14440,정경진,소비자,증평군,충청북도,대한민국,FUR-CH-10002213,가구,의자,"Hon Executive Leather Armchair, Black",신한결,False,1398848.4,3,0,139811.4
IN-2025-66853,5/19/2025,5/24/2025,빠른 배송,DB-12970,강미연,기업 고객,강서구,서울특별시,대한민국,OFF-FA-10000027,사무용품,파스너,"Stockwell Rubber Bands, Bulk Pack",전소현,False,29633.04,2,0.1,12497.04
IN-2025-66853,5/19/2025,5/24/2025,빠른 배송,DB-12970,강미연,기업 고객,강서구,서울특별시,대한민국,FUR-BO-10002819,가구,책장,"Ikea Stackable Bookrack, Traditional",전소현,False,225056.88,2,0.1,47454.48
IN-2025-66853,5/19/2025,5/24/2025,빠른 배송,DB-12970,강미연,기업 고객,강서구,서울특별시,대한민국,OFF-SU-10004306,사무용품,일반 사무용품,"Kleencut Trimmer, Steel",전소현,False,187409.7,5,0.1,-12561.3
ID-2025-74462,12/23/2025,12/25/2025,빠른 배송,MC-17845,우하민,소비자,목포시,전라남도,대한민국,TEC-AC-10000857,사무기기,악세사리,"Belkin Router, Programmable",곽승예,False,438000.75,3,0.45,-175223.25
ID-2025-74462,12/23/2025,12/25/2025,빠른 배송,MC-17845,우하민,소비자,목포시,전라남도,대한민국,OFF-AR-10000681,사무용품,필기구,"Binney & Smith Sketch Pad, Water Color",곽승예,False,27769.5,1,0.45,-15651.9
ID-2025-13940,10/7/2025,10/12/2025,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,FUR-CH-10003354,가구,의자,"Novimex Bag Chairs, Black",전소현,False,199802.7,5,0.1,-20058.3
ID-2025-13940,10/7/2025,10/12/2025,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,OFF-ST-10000542,사무용품,수납용품,"Fellowes Folders, Industrial",전소현,False,49351.68,2,0.1,2717.28
ID-2025-13940,10/7/2025,10/12/2025,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,FUR-BO-10002682,가구,책장,"Safco Stackable Bookrack, Mobile",전소현,False,410290.92,3,0.1,9033.12
ID-2025-13940,10/7/2025,10/12/2025,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,OFF-BI-10002243,사무용품,바인더,"Wilson Jones 3-Hole Punch, Durable",전소현,False,54143.64,2,0.1,19810.44
ID-2025-13940,10/7/2025,10/12/2025,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,FUR-FU-10002659,가구,가구류,"Eldon Clock, Black",전소현,False,466968.24,9,0.1,124370.64
IN-2025-25063,6/16/2025,6/21/2025,표준 배송,MD-17860,황상철,기업 고객,과천시,경기도,대한민국,TEC-CO-10003354,사무기기,복사기,"Brother Fax Machine, Laser",전소현,False,2339357.76,8,0.1,519759.36
IN-2025-64235,6/21/2025,6/27/2025,표준 배송,FM-14290,유경호,홈 오피스,장흥군,전라남도,대한민국,OFF-SU-10004236,사무용품,일반 사무용품,"Stiletto Letter Opener, Steel",곽승예,False,138140.64,6,0.1,35141.04
IN-2025-76450,11/17/2025,11/21/2025,표준 배송,PJ-19015,임은수,소비자,서귀포시,제주특별자치도,대한민국,OFF-BI-10004666,사무용품,바인더,"Wilson Jones Binding Machine, Durable",곽승예,False,128158.308,3,0.17,43151.508
IN-2025-76450,11/17/2025,11/21/2025,표준 배송,PJ-19015,임은수,소비자,서귀포시,제주특별자치도,대한민국,OFF-ST-10003203,사무용품,수납용품,"Eldon Lockers, Wire Frame",곽승예,False,500289.804,3,0.17,156682.404
IN-2025-20226,6/14/2025,6/16/2025,특급 배송,PB-19105,최정희,소비자,동구,대구광역시,대한민국,OFF-BI-10001312,사무용품,바인더,"Cardinal 3-Hole Punch, Clear",원유선,False,86475.6,3,0,36261
IN-2025-20226,6/14/2025,6/16/2025,특급 배송,PB-19105,최정희,소비자,동구,대구광역시,대한민국,OFF-LA-10002364,사무용품,라벨,"Smead Shipping Labels, Alphabetical",원유선,False,163220.4,14,0,47124
IN-2025-74224,6/4/2025,6/10/2025,표준 배송,CM-12115,문유린,소비자,영등포구,서울특별시,대한민국,OFF-SU-10001535,사무용품,일반 사무용품,"Elite Box Cutter, High Speed",전소현,False,213526.8,6,0,34149.6
IN-2025-20702,12/8/2025,12/13/2025,표준 배송,DK-12985,장규보,소비자,은평구,서울특별시,대한민국,OFF-ST-10003547,사무용품,수납용품,"Smead Shelving, Blue",전소현,False,165696.552,4,0.17,53822.952
IN-2025-20702,12/8/2025,12/13/2025,표준 배송,DK-12985,장규보,소비자,은평구,서울특별시,대한민국,FUR-FU-10001130,가구,가구류,"Rubbermaid Stacking Tray, Erganomic",전소현,False,82538.91,5,0.27,-81.09
IN-2025-53252,5/29/2025,6/3/2025,표준 배송,GH-14665,노수정,소비자,인제군,강원도,대한민국,TEC-AC-10000221,사무기기,악세사리,"Belkin Memory Card, Programmable",허진성,False,593181,5,0,124542
IN-2025-59363,10/9/2025,10/11/2025,빠른 배송,TB-21595,백인수,소비자,안산시,경기도,대한민국,FUR-BO-10001753,가구,책장,"Dania Stackable Bookrack, Traditional",전소현,False,308677.5,5,0.5,-37102.5
ID-2025-53679,10/29/2025,11/5/2025,표준 배송,PP-18955,권동탁,홈 오피스,구리시,경기도,대한민국,OFF-BI-10003012,사무용품,바인더,"Wilson Jones Hole Reinforcements, Economy",전소현,False,5544.72,2,0.4,220.32
ID-2025-53679,10/29/2025,11/5/2025,표준 배송,PP-18955,권동탁,홈 오피스,구리시,경기도,대한민국,TEC-PH-10004618,사무기기,전화기,"Motorola Speaker Phone, VoIP",전소현,False,715323.96,9,0.4,-262346.04
ID-2025-65173,11/27/2025,12/2/2025,표준 배송,CS-12355,홍진영,소비자,인제군,강원도,대한민국,OFF-LA-10000506,사무용품,라벨,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",허진성,False,11839.14,2,0.47,-4072.86
IN-2025-39735,3/17/2025,3/22/2025,빠른 배송,BE-11455,구보검,홈 오피스,달서구,대구광역시,대한민국,OFF-AP-10000043,사무용품,가전,"Cuisinart Toaster, Silver",원유선,False,199059.12,4,0.1,66255.12
IN-2025-39735,3/17/2025,3/22/2025,빠른 배송,BE-11455,구보검,홈 오피스,달서구,대구광역시,대한민국,TEC-CO-10003777,사무기기,복사기,"Hewlett Copy Machine, Color",원유선,False,3365553.24,14,0.1,373607.64
IN-2025-39735,3/17/2025,3/22/2025,빠른 배송,BE-11455,구보검,홈 오피스,달서구,대구광역시,대한민국,OFF-BI-10000373,사무용품,바인더,"Ibico Hole Reinforcements, Economy",원유선,False,38500.92,6,0.1,679.32
ID-2025-61169,12/12/2025,12/16/2025,표준 배송,EB-13930,고영아,소비자,동구,인천광역시,대한민국,OFF-EN-10002700,사무용품,봉투,"Kraft Interoffice Envelope, with clear poly window",전소현,False,81836.028,3,0.47,-18593.172
IN-2025-66965,4/16/2025,4/21/2025,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,OFF-SU-10003897,사무용품,일반 사무용품,"Stiletto Ruler, High Speed",허진성,False,95618.88,7,0.1,14865.48
IN-2025-66965,4/16/2025,4/21/2025,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,TEC-MA-10001261,사무기기,전산기기,"Konica Printer, Wireless",허진성,False,1721139.84,7,0.1,688267.44
IN-2025-66965,4/16/2025,4/21/2025,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,OFF-AP-10001503,사무용품,가전,"KitchenAid Microwave, Black",허진성,False,1421752.5,5,0.1,584383.5
IN-2025-66965,4/16/2025,4/21/2025,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,TEC-CO-10002674,사무기기,복사기,"Sharp Fax and Copier, High-Speed",허진성,False,765612,5,0.1,-34119
IN-2025-79698,9/2/2025,9/6/2025,표준 배송,EH-13945,임문도,소비자,창녕군,경상남도,대한민국,TEC-AC-10003407,사무기기,악세사리,"Memorex Mouse, Erganomic",원유선,False,158997.6,6,0,22215.6
IN-2025-56241,11/11/2025,11/15/2025,표준 배송,HZ-14950,송보민,소비자,영월군,강원도,대한민국,TEC-PH-10001921,사무기기,전화기,"Nokia Signal Booster, with Caller ID",허진성,False,139230,1,0,15300
IN-2025-78438,8/25/2025,8/25/2025,당일 배송,MC-17275,임다영,소비자,오산시,경기도,대한민국,OFF-EN-10003540,사무용품,봉투,"Cameo Mailers, Set of 50",전소현,False,64612.512,2,0.17,17121.312
IN-2025-78438,8/25/2025,8/25/2025,당일 배송,MC-17275,임다영,소비자,오산시,경기도,대한민국,OFF-AR-10002109,사무용품,필기구,"Binney & Smith Sketch Pad, Fluorescent",전소현,False,80562.456,2,0.17,10672.056
IN-2025-78438,8/25/2025,8/25/2025,당일 배송,MC-17275,임다영,소비자,오산시,경기도,대한민국,TEC-PH-10003075,사무기기,전화기,"Samsung Signal Booster, Full Size",전소현,False,466916.832,4,0.17,-84495.168
IN-2025-57837,9/19/2025,9/21/2025,빠른 배송,CS-12130,허상재,소비자,신안군,전라남도,대한민국,FUR-BO-10001212,가구,책장,"Safco Classic Bookcase, Mobile",곽승예,False,1618140.24,4,0.1,17882.64
IN-2025-10475,7/11/2025,7/14/2025,빠른 배송,TH-21100,전병만,소비자,광산구,광주광역시,대한민국,OFF-LA-10000707,사무용품,라벨,"Avery Removable Labels, Adjustable",곽승예,False,44064,5,0,1224
IN-2025-36795,12/27/2025,12/29/2025,특급 배송,CV-12805,유희라,기업 고객,포천시,경기도,대한민국,OFF-PA-10000776,사무용품,종이,"Xerox Cards & Envelopes, Premium",전소현,False,183477.6,4,0,86169.6
ID-2025-13135,6/19/2025,6/25/2025,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-LA-10001548,사무용품,라벨,"Avery Shipping Labels, Adjustable",전소현,False,21083.4,4,0.47,-9149.4
IN-2025-45174,11/14/2025,11/18/2025,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-SU-10004008,사무용품,일반 사무용품,"Kleencut Letter Opener, Steel",전소현,False,72705.6,3,0,36352.8
IN-2025-45174,11/14/2025,11/18/2025,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,FUR-BO-10004529,가구,책장,"Sauder 3-Shelf Cabinet, Pine",전소현,False,856953,5,0,102816
IN-2025-45174,11/14/2025,11/18/2025,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-ST-10004830,사무용품,수납용품,"Eldon Lockers, Blue",전소현,False,605604.6,3,0,12025.8
IN-2025-45174,11/14/2025,11/18/2025,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,FUR-BO-10004529,가구,책장,"Sauder 3-Shelf Cabinet, Pine",전소현,False,171390.6,1,0,20563.2
IN-2025-45174,11/14/2025,11/18/2025,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,TEC-MA-10004421,사무기기,전산기기,"Konica Inkjet, Wireless",전소현,False,2238818.4,7,0,1052150.4
IN-2025-45174,11/14/2025,11/18/2025,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-EN-10001789,사무용품,봉투,"Kraft Peel and Seal, Set of 50",전소현,False,104499,5,0,8262
IN-2025-45174,11/14/2025,11/18/2025,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,FUR-BO-10002736,가구,책장,"Sauder Stackable Bookrack, Mobile",전소현,False,1198051.2,8,0,191678.4
IN-2025-45174,11/14/2025,11/18/2025,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,TEC-CO-10000794,사무기기,복사기,"Hewlett Wireless Fax, High-Speed",전소현,False,385957.8,1,0,154377
IN-2025-45174,11/14/2025,11/18/2025,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-LA-10004756,사무용품,라벨,"Avery Removable Labels, Laser Printer Compatible",전소현,False,32864.4,3,0,13402.8
IN-2025-21990,12/4/2025,12/6/2025,특급 배송,SM-20320,정하은,홈 오피스,보령시,충청남도,대한민국,FUR-CH-10004580,가구,의자,"Office Star Bag Chairs, Adjustable",신한결,False,59088.6,1,0,18298.8
ID-2025-58418,12/31/2025,1/2/2026,특급 배송,JA-15970,차경철,소비자,금정구,부산광역시,대한민국,OFF-AR-10002389,사무용품,필기구,"Binney & Smith Pens, Fluorescent",원유선,False,40392,3,0,6793.2
IN-2025-23383,6/24/2025,6/26/2025,빠른 배송,EM-14065,한민,소비자,속초시,강원도,대한민국,OFF-EN-10001976,사무용품,봉투,"Jiffy Interoffice Envelope, Security-Tint",허진성,False,149450.4,3,0,41769
IN-2025-61932,4/17/2025,4/17/2025,당일 배송,HA-14920,도현윤,소비자,서구,대전광역시,대한민국,OFF-ST-10000351,사무용품,수납용품,"Smead Shelving, Wire Frame",신한결,True,195840,4,0,1958.4
IN-2025-61932,4/17/2025,4/17/2025,당일 배송,HA-14920,도현윤,소비자,서구,대전광역시,대한민국,TEC-PH-10001457,사무기기,전화기,"Apple Smart Phone, Full Size",신한결,True,1300500,2,0,143024.4
IN-2025-61932,4/17/2025,4/17/2025,당일 배송,HA-14920,도현윤,소비자,서구,대전광역시,대한민국,FUR-FU-10004820,가구,가구류,"Advantus Photo Frame, Erganomic",신한결,True,105264,2,0,45226.8
IN-2025-78725,10/2/2025,10/6/2025,표준 배송,NF-18385,강진원,소비자,세종특별자치시,세종특별자치시,대한민국,TEC-PH-10001670,사무기기,전화기,"Motorola Smart Phone, Full Size",신한결,False,2627438.4,4,0,998416.8
IN-2025-54211,1/17/2025,1/21/2025,표준 배송,KB-16315,길연지,소비자,서구,인천광역시,대한민국,OFF-BI-10004869,사무용품,바인더,"Avery 3-Hole Punch, Recycled",전소현,False,95598.072,4,0.17,35622.072
IN-2025-54211,1/17/2025,1/21/2025,표준 배송,KB-16315,길연지,소비자,서구,인천광역시,대한민국,OFF-AR-10000762,사무용품,필기구,"BIC Pens, Water Color",전소현,False,52002.864,4,0.27,-1485.936
