order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,country,product_id,category,sub_category,product_name,manager,returned,sales,quantity,discount,profit
ID-2025-17265,2025-03-01,2025-03-05,Standard Class,KB-16240,홍희창,Corporate,노원구,서울특별시,대한민국,OFF-EN-10001491,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Set of 50",전소현,False,284212.8,6,0.0,56732.4
IN-2025-32091,2025-07-11,2025-07-15,Standard Class,CK-12595,유휘재,Consumer,정선군,강원도,대한민국,FUR-FU-10000666,Furniture,Furnishings,"Rubbermaid Frame, Black",허진성,True,224175.6,2,0.0,60526.8
IN-2025-32091,2025-07-11,2025-07-15,Standard Class,CK-12595,유휘재,Consumer,정선군,강원도,대한민국,OFF-ST-10001824,Office Supplies,Storage,"Rogers Box, Single Width",허진성,True,73440.0,3,0.0,4406.4
IN-2025-29753,2025-11-13,2025-11-19,Standard Class,NS-18640,이성혜,Corporate,동대문구,서울특별시,대한민국,OFF-LA-10003778,Office Supplies,Labels,"Novimex File Folder Labels, Alphabetical",전소현,False,32925.6,4,0.0,8445.6
IN-2025-29753,2025-11-13,2025-11-19,Standard Class,NS-18640,이성혜,Corporate,동대문구,서울특별시,대한민국,TEC-AC-10001278,Technology,Accessories,"Enermax Flash Drive, USB",전소현,False,127693.8,3,0.0,30569.4
IN-2025-29753,2025-11-13,2025-11-19,Standard Class,NS-18640,이성혜,Corporate,동대문구,서울특별시,대한민국,OFF-ST-10000704,Office Supplies,Storage,"Rogers File Cart, Blue",전소현,False,573933.6,4,0.0,212241.6
IN-2025-55513,2025-12-09,2025-12-13,Standard Class,CR-12580,서지선,Home Office,창원시,경상남도,대한민국,OFF-ST-10003810,Office Supplies,Storage,"Tenex Box, Single Width",원유선,False,118024.2,7,0.0,41126.4
IN-2025-55513,2025-12-09,2025-12-13,Standard Class,CR-12580,서지선,Home Office,창원시,경상남도,대한민국,OFF-EN-10000114,Office Supplies,Envelopes,"Kraft Clasp Envelope, Security-Tint",원유선,False,46512.0,4,0.0,856.8
IN-2025-76674,2025-09-14,2025-09-20,Standard Class,MZ-17515,손예준,Corporate,합천군,경상남도,대한민국,OFF-AR-10001405,Office Supplies,Art,"Binney & Smith Highlighters, Fluorescent",원유선,False,54621.0,3,0.0,7068.6
IN-2025-76674,2025-09-14,2025-09-20,Standard Class,MZ-17515,손예준,Corporate,합천군,경상남도,대한민국,FUR-CH-10002188,Furniture,Chairs,"SAFCO Steel Folding Chair, Set of Two",원유선,False,358876.8,4,0.0,150674.4
IN-2025-47463,2025-02-28,2025-03-05,Standard Class,ZC-21910,이유영,Consumer,부산진구,부산광역시,대한민국,OFF-BI-10002424,Office Supplies,Binders,"Avery Binder, Economy",원유선,False,15789.6,2,0.4,244.8
ID-2025-17657,2025-06-25,2025-06-30,Standard Class,FC-14245,유옥자,Home Office,옥천군,충청북도,대한민국,OFF-PA-10004260,Office Supplies,Paper,"Xerox Memo Slips, Recycled",신한결,False,29062.656,4,0.47,-5576.544
IN-2025-60476,2025-11-03,2025-11-07,Standard Class,HM-14980,임강준,Consumer,동구,대전광역시,대한민국,OFF-FA-10001187,Office Supplies,Fasteners,"Stockwell Paper Clips, Bulk Pack",신한결,True,27784.8,2,0.0,9424.8
IN-2025-60476,2025-11-03,2025-11-07,Standard Class,HM-14980,임강준,Consumer,동구,대전광역시,대한민국,OFF-FA-10001045,Office Supplies,Fasteners,"Stockwell Staples, 12 Pack",신한결,True,50184.0,5,0.0,3978.0
IN-2025-60476,2025-11-03,2025-11-07,Standard Class,HM-14980,임강준,Consumer,동구,대전광역시,대한민국,OFF-EN-10003000,Office Supplies,Envelopes,"Cameo Mailers, Recycled",신한결,True,188496.0,5,0.0,75276.0
IN-2025-60476,2025-11-03,2025-11-07,Standard Class,HM-14980,임강준,Consumer,동구,대전광역시,대한민국,OFF-BI-10001904,Office Supplies,Binders,"Cardinal Binder Covers, Durable",신한결,True,27540.0,2,0.0,13464.0
IN-2025-60476,2025-11-03,2025-11-07,Standard Class,HM-14980,임강준,Consumer,동구,대전광역시,대한민국,OFF-AR-10002727,Office Supplies,Art,"Stanley Pencil Sharpener, Fluorescent",신한결,True,50551.2,2,0.0,14137.2
IN-2025-57410,2025-10-17,2025-10-23,Standard Class,CS-12250,구용성,Corporate,동작구,서울특별시,대한민국,OFF-BI-10004334,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",전소현,False,12056.4,2,0.0,2019.6
IN-2025-57410,2025-10-17,2025-10-23,Standard Class,CS-12250,구용성,Corporate,동작구,서울특별시,대한민국,OFF-ST-10001026,Office Supplies,Storage,"Fellowes Trays, Single Width",전소현,False,292842.0,5,0.0,131733.0
IN-2025-57410,2025-10-17,2025-10-23,Standard Class,CS-12250,구용성,Corporate,동작구,서울특별시,대한민국,OFF-EN-10003838,Office Supplies,Envelopes,"Cameo Peel and Seal, with clear poly window",전소현,False,25030.8,1,0.0,7252.2
IN-2025-13597,2025-11-03,2025-11-07,Standard Class,AC-10450,민문희,Consumer,대덕구,대전광역시,대한민국,OFF-LA-10002088,Office Supplies,Labels,"Novimex Round Labels, Laser Printer Compatible",신한결,False,6395.4,1,0.0,2998.8
IN-2025-13597,2025-11-03,2025-11-07,Standard Class,AC-10450,민문희,Consumer,대덕구,대전광역시,대한민국,FUR-TA-10002256,Furniture,Tables,"Hon Wood Table, Fully Assembled",신한결,False,2717280.0,5,0.0,923814.0
IN-2025-25161,2025-07-14,2025-07-20,Standard Class,MS-17710,한정호,Consumer,음성군,충청북도,대한민국,OFF-SU-10001686,Office Supplies,Supplies,"Kleencut Trimmer, Easy Grip",신한결,False,118559.7,3,0.1,10511.1
IN-2025-16887,2025-05-05,2025-05-07,Second Class,CC-12475,노재성,Consumer,수성구,대구광역시,대한민국,TEC-CO-10002040,Technology,Copiers,"Brother Fax Machine, Digital",원유선,False,1298174.4,4,0.0,545169.6
IN-2025-53427,2025-05-09,2025-05-15,Standard Class,LT-16765,문희진,Consumer,북구,부산광역시,대한민국,OFF-BI-10002907,Office Supplies,Binders,"Wilson Jones 3-Hole Punch, Economy",원유선,False,57099.6,2,0.0,7956.0
IN-2025-53427,2025-05-09,2025-05-15,Standard Class,LT-16765,문희진,Consumer,북구,부산광역시,대한민국,OFF-AP-10002371,Office Supplies,Appliances,"KitchenAid Blender, Silver",원유선,False,100827.0,1,0.0,43329.6
IN-2025-53427,2025-05-09,2025-05-15,Standard Class,LT-16765,문희진,Consumer,북구,부산광역시,대한민국,FUR-TA-10004711,Furniture,Tables,"Lesro Conference Table, Adjustable Height",원유선,False,4384827.0,5,0.0,306918.0
IN-2025-53427,2025-05-09,2025-05-15,Standard Class,LT-16765,문희진,Consumer,북구,부산광역시,대한민국,OFF-PA-10004124,Office Supplies,Paper,"SanDisk Message Books, 8.5 x 11",원유선,False,114076.8,4,0.0,3304.8
IN-2025-63591,2025-12-13,2025-12-18,Standard Class,ZD-21925,강현석,Consumer,고양시,경기도,대한민국,FUR-TA-10003576,Furniture,Tables,"Hon Coffee Table, Adjustable Height",전소현,False,454232.52,2,0.3,64878.12
IN-2025-76058,2025-03-13,2025-03-15,First Class,FO-14305,오승리,Consumer,광진구,서울특별시,대한민국,OFF-PA-10000382,Office Supplies,Paper,"SanDisk Computer Printout Paper, Multicolor",전소현,False,63648.0,2,0.0,26071.2
IN-2025-76058,2025-03-13,2025-03-15,First Class,FO-14305,오승리,Consumer,광진구,서울특별시,대한민국,OFF-AR-10001773,Office Supplies,Art,"Sanford Markers, Water Color",전소현,False,53917.2,2,0.0,11811.6
IN-2025-76058,2025-03-13,2025-03-15,First Class,FO-14305,오승리,Consumer,광진구,서울특별시,대한민국,OFF-FA-10003604,Office Supplies,Fasteners,"Stockwell Paper Clips, Assorted Sizes",전소현,False,46267.2,4,0.0,6364.8
IN-2025-76058,2025-03-13,2025-03-15,First Class,FO-14305,오승리,Consumer,광진구,서울특별시,대한민국,FUR-CH-10004694,Furniture,Chairs,"Office Star Rocking Chair, Black",전소현,False,988747.2,7,0.0,355786.2
IN-2025-76058,2025-03-13,2025-03-15,First Class,FO-14305,오승리,Consumer,광진구,서울특별시,대한민국,OFF-PA-10000302,Office Supplies,Paper,"Eaton Computer Printout Paper, Multicolor",전소현,False,85557.6,3,0.0,31579.2
IN-2025-76058,2025-03-13,2025-03-15,First Class,FO-14305,오승리,Consumer,광진구,서울특별시,대한민국,OFF-EN-10003601,Office Supplies,Envelopes,"GlobeWeis Clasp Envelope, Set of 50",전소현,False,50490.0,5,0.0,0.0
IN-2025-76058,2025-03-13,2025-03-15,First Class,FO-14305,오승리,Consumer,광진구,서울특별시,대한민국,FUR-FU-10000496,Furniture,Furnishings,"Eldon Clock, Duo Pack",전소현,False,115423.2,2,0.0,54223.2
IN-2025-17489,2025-12-22,2025-12-26,Standard Class,DF-13135,문익현,Consumer,부평구,인천광역시,대한민국,OFF-BI-10004651,Office Supplies,Binders,"Cardinal Binding Machine, Clear",전소현,False,166712.472,4,0.17,58143.672
IN-2025-17489,2025-12-22,2025-12-26,Standard Class,DF-13135,문익현,Consumer,부평구,인천광역시,대한민국,OFF-AR-10000539,Office Supplies,Art,"Boston Markers, Easy-Erase",전소현,False,59508.432,3,0.27,-16318.368
IN-2025-46343,2025-09-23,2025-09-27,Standard Class,JW-15220,현유희,Corporate,의령군,경상남도,대한민국,OFF-LA-10003396,Office Supplies,Labels,"Avery Color Coded Labels, Laser Printer Compatible",원유선,False,67779.0,5,0.0,14841.0
IN-2025-46343,2025-09-23,2025-09-27,Standard Class,JW-15220,현유희,Corporate,의령군,경상남도,대한민국,OFF-ST-10004325,Office Supplies,Storage,"Eldon Box, Single Width",원유선,False,52479.0,5,0.0,20961.0
IN-2025-30817,2025-05-08,2025-05-12,Standard Class,GM-14440,정경진,Consumer,증평군,충청북도,대한민국,OFF-SU-10004177,Office Supplies,Supplies,"Fiskars Box Cutter, Easy Grip",신한결,False,151531.2,4,0.0,33292.8
IN-2025-30817,2025-05-08,2025-05-12,Standard Class,GM-14440,정경진,Consumer,증평군,충청북도,대한민국,OFF-AR-10001228,Office Supplies,Art,"Binney & Smith Pens, Easy-Erase",신한결,False,37362.6,3,0.0,13035.6
IN-2025-30817,2025-05-08,2025-05-12,Standard Class,GM-14440,정경진,Consumer,증평군,충청북도,대한민국,FUR-CH-10002213,Furniture,Chairs,"Hon Executive Leather Armchair, Black",신한결,False,1398848.4,3,0.0,139811.4
IN-2025-66853,2025-05-19,2025-05-24,Second Class,DB-12970,강미연,Corporate,강서구,서울특별시,대한민국,OFF-FA-10000027,Office Supplies,Fasteners,"Stockwell Rubber Bands, Bulk Pack",전소현,False,29633.04,2,0.1,12497.04
IN-2025-66853,2025-05-19,2025-05-24,Second Class,DB-12970,강미연,Corporate,강서구,서울특별시,대한민국,FUR-BO-10002819,Furniture,Bookcases,"Ikea Stackable Bookrack, Traditional",전소현,False,225056.88,2,0.1,47454.48
IN-2025-66853,2025-05-19,2025-05-24,Second Class,DB-12970,강미연,Corporate,강서구,서울특별시,대한민국,OFF-SU-10004306,Office Supplies,Supplies,"Kleencut Trimmer, Steel",전소현,False,187409.7,5,0.1,-12561.3
ID-2025-74462,2025-12-23,2025-12-25,Second Class,MC-17845,우하민,Consumer,목포시,전라남도,대한민국,TEC-AC-10000857,Technology,Accessories,"Belkin Router, Programmable",곽승예,False,438000.75,3,0.45,-175223.25
ID-2025-74462,2025-12-23,2025-12-25,Second Class,MC-17845,우하민,Consumer,목포시,전라남도,대한민국,OFF-AR-10000681,Office Supplies,Art,"Binney & Smith Sketch Pad, Water Color",곽승예,False,27769.5,1,0.45,-15651.9
ID-2025-13940,2025-10-07,2025-10-12,Second Class,DK-13375,송도희,Consumer,양주시,경기도,대한민국,FUR-CH-10003354,Furniture,Chairs,"Novimex Bag Chairs, Black",전소현,False,199802.7,5,0.1,-20058.3
ID-2025-13940,2025-10-07,2025-10-12,Second Class,DK-13375,송도희,Consumer,양주시,경기도,대한민국,OFF-ST-10000542,Office Supplies,Storage,"Fellowes Folders, Industrial",전소현,False,49351.68,2,0.1,2717.28
ID-2025-13940,2025-10-07,2025-10-12,Second Class,DK-13375,송도희,Consumer,양주시,경기도,대한민국,FUR-BO-10002682,Furniture,Bookcases,"Safco Stackable Bookrack, Mobile",전소현,False,410290.92,3,0.1,9033.12
ID-2025-13940,2025-10-07,2025-10-12,Second Class,DK-13375,송도희,Consumer,양주시,경기도,대한민국,OFF-BI-10002243,Office Supplies,Binders,"Wilson Jones 3-Hole Punch, Durable",전소현,False,54143.64,2,0.1,19810.44
ID-2025-13940,2025-10-07,2025-10-12,Second Class,DK-13375,송도희,Consumer,양주시,경기도,대한민국,FUR-FU-10002659,Furniture,Furnishings,"Eldon Clock, Black",전소현,False,466968.24,9,0.1,124370.64
IN-2025-25063,2025-06-16,2025-06-21,Standard Class,MD-17860,황상철,Corporate,과천시,경기도,대한민국,TEC-CO-10003354,Technology,Copiers,"Brother Fax Machine, Laser",전소현,False,2339357.76,8,0.1,519759.36
IN-2025-64235,2025-06-21,2025-06-27,Standard Class,FM-14290,유경호,Home Office,장흥군,전라남도,대한민국,OFF-SU-10004236,Office Supplies,Supplies,"Stiletto Letter Opener, Steel",곽승예,False,138140.64,6,0.1,35141.04
IN-2025-76450,2025-11-17,2025-11-21,Standard Class,PJ-19015,임은수,Consumer,서귀포시,제주특별자치도,대한민국,OFF-BI-10004666,Office Supplies,Binders,"Wilson Jones Binding Machine, Durable",곽승예,False,128158.308,3,0.17,43151.508
IN-2025-76450,2025-11-17,2025-11-21,Standard Class,PJ-19015,임은수,Consumer,서귀포시,제주특별자치도,대한민국,OFF-ST-10003203,Office Supplies,Storage,"Eldon Lockers, Wire Frame",곽승예,False,500289.804,3,0.17,156682.404
IN-2025-20226,2025-06-14,2025-06-16,First Class,PB-19105,최정희,Consumer,동구,대구광역시,대한민국,OFF-BI-10001312,Office Supplies,Binders,"Cardinal 3-Hole Punch, Clear",원유선,False,86475.6,3,0.0,36261.0
IN-2025-20226,2025-06-14,2025-06-16,First Class,PB-19105,최정희,Consumer,동구,대구광역시,대한민국,OFF-LA-10002364,Office Supplies,Labels,"Smead Shipping Labels, Alphabetical",원유선,False,163220.4,14,0.0,47124.0
IN-2025-74224,2025-06-04,2025-06-10,Standard Class,CM-12115,문유린,Consumer,영등포구,서울특별시,대한민국,OFF-SU-10001535,Office Supplies,Supplies,"Elite Box Cutter, High Speed",전소현,False,213526.8,6,0.0,34149.6
IN-2025-20702,2025-12-08,2025-12-13,Standard Class,DK-12985,장규보,Consumer,은평구,서울특별시,대한민국,OFF-ST-10003547,Office Supplies,Storage,"Smead Shelving, Blue",전소현,False,165696.552,4,0.17,53822.952
IN-2025-20702,2025-12-08,2025-12-13,Standard Class,DK-12985,장규보,Consumer,은평구,서울특별시,대한민국,FUR-FU-10001130,Furniture,Furnishings,"Rubbermaid Stacking Tray, Erganomic",전소현,False,82538.91,5,0.27,-81.09
IN-2025-53252,2025-05-29,2025-06-03,Standard Class,GH-14665,노수정,Consumer,인제군,강원도,대한민국,TEC-AC-10000221,Technology,Accessories,"Belkin Memory Card, Programmable",허진성,False,593181.0,5,0.0,124542.0
IN-2025-59363,2025-10-09,2025-10-11,Second Class,TB-21595,백인수,Consumer,안산시,경기도,대한민국,FUR-BO-10001753,Furniture,Bookcases,"Dania Stackable Bookrack, Traditional",전소현,False,308677.5,5,0.5,-37102.5
ID-2025-53679,2025-10-29,2025-11-05,Standard Class,PP-18955,권동탁,Home Office,구리시,경기도,대한민국,OFF-BI-10003012,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Economy",전소현,False,5544.72,2,0.4,220.32
ID-2025-53679,2025-10-29,2025-11-05,Standard Class,PP-18955,권동탁,Home Office,구리시,경기도,대한민국,TEC-PH-10004618,Technology,Phones,"Motorola Speaker Phone, VoIP",전소현,False,715323.96,9,0.4,-262346.04
ID-2025-65173,2025-11-27,2025-12-02,Standard Class,CS-12355,홍진영,Consumer,인제군,강원도,대한민국,OFF-LA-10000506,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",허진성,False,11839.14,2,0.47,-4072.86
IN-2025-39735,2025-03-17,2025-03-22,Second Class,BE-11455,구보검,Home Office,달서구,대구광역시,대한민국,OFF-AP-10000043,Office Supplies,Appliances,"Cuisinart Toaster, Silver",원유선,False,199059.12,4,0.1,66255.12
IN-2025-39735,2025-03-17,2025-03-22,Second Class,BE-11455,구보검,Home Office,달서구,대구광역시,대한민국,TEC-CO-10003777,Technology,Copiers,"Hewlett Copy Machine, Color",원유선,False,3365553.24,14,0.1,373607.64
IN-2025-39735,2025-03-17,2025-03-22,Second Class,BE-11455,구보검,Home Office,달서구,대구광역시,대한민국,OFF-BI-10000373,Office Supplies,Binders,"Ibico Hole Reinforcements, Economy",원유선,False,38500.92,6,0.1,679.32
ID-2025-61169,2025-12-12,2025-12-16,Standard Class,EB-13930,고영아,Consumer,동구,인천광역시,대한민국,OFF-EN-10002700,Office Supplies,Envelopes,"Kraft Interoffice Envelope, with clear poly window",전소현,False,81836.028,3,0.47,-18593.172
IN-2025-66965,2025-04-16,2025-04-21,Standard Class,EG-13900,오혁수,Consumer,홍천군,강원도,대한민국,OFF-SU-10003897,Office Supplies,Supplies,"Stiletto Ruler, High Speed",허진성,False,95618.88,7,0.1,14865.48
IN-2025-66965,2025-04-16,2025-04-21,Standard Class,EG-13900,오혁수,Consumer,홍천군,강원도,대한민국,TEC-MA-10001261,Technology,Machines,"Konica Printer, Wireless",허진성,False,1721139.84,7,0.1,688267.44
IN-2025-66965,2025-04-16,2025-04-21,Standard Class,EG-13900,오혁수,Consumer,홍천군,강원도,대한민국,OFF-AP-10001503,Office Supplies,Appliances,"KitchenAid Microwave, Black",허진성,False,1421752.5,5,0.1,584383.5
IN-2025-66965,2025-04-16,2025-04-21,Standard Class,EG-13900,오혁수,Consumer,홍천군,강원도,대한민국,TEC-CO-10002674,Technology,Copiers,"Sharp Fax and Copier, High-Speed",허진성,False,765612.0,5,0.1,-34119.0
IN-2025-79698,2025-09-02,2025-09-06,Standard Class,EH-13945,임문도,Consumer,창녕군,경상남도,대한민국,TEC-AC-10003407,Technology,Accessories,"Memorex Mouse, Erganomic",원유선,False,158997.6,6,0.0,22215.6
IN-2025-56241,2025-11-11,2025-11-15,Standard Class,HZ-14950,송보민,Consumer,영월군,강원도,대한민국,TEC-PH-10001921,Technology,Phones,"Nokia Signal Booster, with Caller ID",허진성,False,139230.0,1,0.0,15300.0
IN-2025-78438,2025-08-25,2025-08-25,Same Day,MC-17275,임다영,Consumer,오산시,경기도,대한민국,OFF-EN-10003540,Office Supplies,Envelopes,"Cameo Mailers, Set of 50",전소현,False,64612.512,2,0.17,17121.312
IN-2025-78438,2025-08-25,2025-08-25,Same Day,MC-17275,임다영,Consumer,오산시,경기도,대한민국,OFF-AR-10002109,Office Supplies,Art,"Binney & Smith Sketch Pad, Fluorescent",전소현,False,80562.456,2,0.17,10672.056
IN-2025-78438,2025-08-25,2025-08-25,Same Day,MC-17275,임다영,Consumer,오산시,경기도,대한민국,TEC-PH-10003075,Technology,Phones,"Samsung Signal Booster, Full Size",전소현,False,466916.832,4,0.17,-84495.168
IN-2025-57837,2025-09-19,2025-09-21,Second Class,CS-12130,허상재,Consumer,신안군,전라남도,대한민국,FUR-BO-10001212,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",곽승예,False,1618140.24,4,0.1,17882.64
IN-2025-10475,2025-07-11,2025-07-14,Second Class,TH-21100,전병만,Consumer,광산구,광주광역시,대한민국,OFF-LA-10000707,Office Supplies,Labels,"Avery Removable Labels, Adjustable",곽승예,False,44064.0,5,0.0,1224.0
IN-2025-36795,2025-12-27,2025-12-29,First Class,CV-12805,유희라,Corporate,포천시,경기도,대한민국,OFF-PA-10000776,Office Supplies,Paper,"Xerox Cards & Envelopes, Premium",전소현,False,183477.6,4,0.0,86169.6
ID-2025-13135,2025-06-19,2025-06-25,Standard Class,JL-15235,우설희,Consumer,광명시,경기도,대한민국,OFF-LA-10001548,Office Supplies,Labels,"Avery Shipping Labels, Adjustable",전소현,False,21083.4,4,0.47,-9149.4
IN-2025-45174,2025-11-14,2025-11-18,Standard Class,JL-15235,우설희,Consumer,광명시,경기도,대한민국,OFF-SU-10004008,Office Supplies,Supplies,"Kleencut Letter Opener, Steel",전소현,False,72705.6,3,0.0,36352.8
IN-2025-45174,2025-11-14,2025-11-18,Standard Class,JL-15235,우설희,Consumer,광명시,경기도,대한민국,FUR-BO-10004529,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Pine",전소현,False,856953.0,5,0.0,102816.0
IN-2025-45174,2025-11-14,2025-11-18,Standard Class,JL-15235,우설희,Consumer,광명시,경기도,대한민국,OFF-ST-10004830,Office Supplies,Storage,"Eldon Lockers, Blue",전소현,False,605604.6,3,0.0,12025.8
IN-2025-45174,2025-11-14,2025-11-18,Standard Class,JL-15235,우설희,Consumer,광명시,경기도,대한민국,FUR-BO-10004529,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Pine",전소현,False,171390.6,1,0.0,20563.2
IN-2025-45174,2025-11-14,2025-11-18,Standard Class,JL-15235,우설희,Consumer,광명시,경기도,대한민국,TEC-MA-10004421,Technology,Machines,"Konica Inkjet, Wireless",전소현,False,2238818.4,7,0.0,1052150.4
IN-2025-45174,2025-11-14,2025-11-18,Standard Class,JL-15235,우설희,Consumer,광명시,경기도,대한민국,OFF-EN-10001789,Office Supplies,Envelopes,"Kraft Peel and Seal, Set of 50",전소현,False,104499.0,5,0.0,8262.0
IN-2025-45174,2025-11-14,2025-11-18,Standard Class,JL-15235,우설희,Consumer,광명시,경기도,대한민국,FUR-BO-10002736,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile",전소현,False,1198051.2,8,0.0,191678.4
IN-2025-45174,2025-11-14,2025-11-18,Standard Class,JL-15235,우설희,Consumer,광명시,경기도,대한민국,TEC-CO-10000794,Technology,Copiers,"Hewlett Wireless Fax, High-Speed",전소현,False,385957.8,1,0.0,154377.0
IN-2025-45174,2025-11-14,2025-11-18,Standard Class,JL-15235,우설희,Consumer,광명시,경기도,대한민국,OFF-LA-10004756,Office Supplies,Labels,"Avery Removable Labels, Laser Printer Compatible",전소현,False,32864.4,3,0.0,13402.8
IN-2025-21990,2025-12-04,2025-12-06,First Class,SM-20320,정하은,Home Office,보령시,충청남도,대한민국,FUR-CH-10004580,Furniture,Chairs,"Office Star Bag Chairs, Adjustable",신한결,False,59088.6,1,0.0,18298.8
ID-2025-58418,2025-12-31,2026-01-02,First Class,JA-15970,차경철,Consumer,금정구,부산광역시,대한민국,OFF-AR-10002389,Office Supplies,Art,"Binney & Smith Pens, Fluorescent",원유선,False,40392.0,3,0.0,6793.2
IN-2025-23383,2025-06-24,2025-06-26,Second Class,EM-14065,한민,Consumer,속초시,강원도,대한민국,OFF-EN-10001976,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Security-Tint",허진성,False,149450.4,3,0.0,41769.0
IN-2025-61932,2025-04-17,2025-04-17,Same Day,HA-14920,도현윤,Consumer,서구,대전광역시,대한민국,OFF-ST-10000351,Office Supplies,Storage,"Smead Shelving, Wire Frame",신한결,True,195840.0,4,0.0,1958.4
IN-2025-61932,2025-04-17,2025-04-17,Same Day,HA-14920,도현윤,Consumer,서구,대전광역시,대한민국,TEC-PH-10001457,Technology,Phones,"Apple Smart Phone, Full Size",신한결,True,1300500.0,2,0.0,143024.4
IN-2025-61932,2025-04-17,2025-04-17,Same Day,HA-14920,도현윤,Consumer,서구,대전광역시,대한민국,FUR-FU-10004820,Furniture,Furnishings,"Advantus Photo Frame, Erganomic",신한결,True,105264.0,2,0.0,45226.8
